,name,locus_tag,start,stop,strand,dist_ori,between_dnaA_ori,co-orient
1,NZ_CP064367.1,['IUJ45_RS05540'],1090044,1091585,-1.0,106546.0,True,True
2,NZ_CP064367.1,['IUJ45_RS06520'],1278206,1279747,1.0,80075.0,False,True
3,NZ_CP064367.1,['IUJ45_RS07795'],1528872,1530413,1.0,330741.0,False,True
4,NZ_CP064367.1,['IUJ45_RS09195'],1818510,1820051,1.0,620379.0,False,True
5,NZ_CP064364.1,['IUJ46_RS05920'],1125318,1126867,-1.0,471760.0,False,True
6,NZ_CP064364.1,['IUJ46_RS07115'],1372233,1373782,-1.0,224845.0,False,True
7,NZ_CP064364.1,['IUJ46_RS08360'],1648065,1649614,1.0,49438.0,False,True
8,NZ_CP064364.1,['IUJ46_RS08425'],1654066,1655615,1.0,55439.0,False,True
9,NZ_CP064364.1,['IUJ46_RS08800'],1710903,1712452,1.0,112276.0,False,True
10,NZ_CP064364.1,['IUJ46_RS09705'],1895977,1897526,1.0,297350.0,False,True
11,NZ_CP064359.1,['IUJ42_RS07420'],1578602,1580153,-1.0,949787.0,False,True
12,NZ_CP064359.1,['IUJ42_RS08025'],1702884,1704435,-1.0,825505.0,False,True
13,NZ_CP064359.1,['IUJ42_RS08510'],1792200,1793751,-1.0,736189.0,False,True
14,NZ_CP064359.1,['IUJ42_RS10945'],2316536,2318087,-1.0,211853.0,False,True
15,NZ_CP064359.1,['IUJ42_RS10960'],2321688,2323239,-1.0,206701.0,False,True
16,NZ_CP064359.1,['IUJ42_RS11210'],2366327,2367878,-1.0,162062.0,False,True
17,NZ_CP064365.1,['IUJ41_RS02735'],527986,529538,-1.0,518691.0,False,True
18,NZ_CP064365.1,['IUJ41_RS02755'],533321,534873,-1.0,513356.0,False,True
19,NZ_CP064365.1,['IUJ41_RS03010'],577880,579432,-1.0,468797.0,False,True
20,NZ_CP064365.1,['IUJ41_RS08065'],1613988,1615540,1.0,565759.0,False,True
21,NZ_CP064365.1,['IUJ41_RS08655'],1732519,1734071,1.0,684290.0,False,True
22,NZ_CP064365.1,['IUJ41_RS09335'],1867710,1869262,1.0,819481.0,False,True
23,NZ_CP064373.1,['IUJ53_RS06835'],1367684,1369234,-1.0,1205533.0,False,True
24,NZ_CP064373.1,['IUJ53_RS07320'],1472362,1473912,-1.0,1100855.0,False,True
25,NZ_CP064373.1,['IUJ53_RS10270'],2071256,2072806,-1.0,501961.0,False,True
